,Day,ParameterName,ReportingArea,Category_17,Category_18,Latitude,Longitude,Date_17,Date_18,AQI17,AQI18,AQI_Delta
0,09 ,OZONE,Concord,Good,Good,37.97,-122.03,2017-10-09 ,2018-10-09 ,47,26,-21
1,09 ,OZONE,Fairfield,Good,Good,38.25,-122.04,2017-10-09 ,2018-10-09 ,44,40,-4
2,09 ,OZONE,Livermore,Good,Good,37.68,-121.77,2017-10-09 ,2018-10-09 ,47,32,-15
3,09 ,OZONE,Napa,Good,Good,38.33,-122.28,2017-10-09 ,2018-10-09 ,48,31,-17
4,09 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-09 ,2018-10-09 ,41,24,-17
5,09 ,OZONE,Redwood City,Good,Good,37.48,-122.22,2017-10-09 ,2018-10-09 ,40,24,-16
6,09 ,OZONE,San Francisco,Good,Good,37.75,-122.43,2017-10-09 ,2018-10-09 ,34,28,-6
7,09 ,OZONE,San Jose,Moderate,Good,37.33,-121.9,2017-10-09 ,2018-10-09 ,54,35,-19
8,09 ,OZONE,San Rafael,Good,Good,37.97,-122.52,2017-10-09 ,2018-10-09 ,43,25,-18
9,09 ,OZONE,Santa Rosa,Good,Good,38.45,-122.7,2017-10-09 ,2018-10-09 ,40,25,-15
10,09 ,OZONE,Vacaville,Good,Good,38.3525,-121.9617,2017-10-09 ,2018-10-09 ,40,39,-1
11,09 ,PM2.5,Concord,Moderate,Good,37.97,-122.03,2017-10-09 ,2018-10-09 ,71,16,-55
12,09 ,PM2.5,Livermore,Moderate,Good,37.68,-121.77,2017-10-09 ,2018-10-09 ,66,24,-42
13,09 ,PM2.5,Napa,Unhealthy,Good,38.33,-122.28,2017-10-09 ,2018-10-09 ,167,28,-139
14,09 ,PM2.5,Oakland,Moderate,Good,37.8,-122.27,2017-10-09 ,2018-10-09 ,87,46,-41
15,09 ,PM2.5,Rio Vista,Moderate,Good,38.2183,-121.77,2017-10-09 ,2018-10-09 ,64,35,-29
16,09 ,PM2.5,San Francisco,Moderate,Good,37.75,-122.43,2017-10-09 ,2018-10-09 ,100,27,-73
17,09 ,PM2.5,San Jose,Good,Good,37.33,-121.9,2017-10-09 ,2018-10-09 ,47,43,-4
18,09 ,PM2.5,San Rafael,Unhealthy,Good,37.97,-122.52,2017-10-09 ,2018-10-09 ,161,29,-132
19,10 ,OZONE,Concord,Moderate,Good,37.97,-122.03,2017-10-10 ,2018-10-10 ,61,22,-39
20,10 ,OZONE,Davis,Moderate,Good,38.5448,-121.7411,2017-10-10 ,2018-10-10 ,51,33,-18
21,10 ,OZONE,Fairfield,Moderate,Good,38.25,-122.04,2017-10-10 ,2018-10-10 ,71,31,-40
22,10 ,OZONE,Fremont,Good,Good,37.55,-122.03,2017-10-10 ,2018-10-10 ,44,31,-13
23,10 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-10 ,2018-10-10 ,42,27,-15
24,10 ,OZONE,Redwood City,Good,Good,37.48,-122.22,2017-10-10 ,2018-10-10 ,35,26,-9
25,10 ,OZONE,San Jose,Good,Good,37.33,-121.9,2017-10-10 ,2018-10-10 ,44,31,-13
26,10 ,OZONE,San Rafael,Moderate,Good,37.97,-122.52,2017-10-10 ,2018-10-10 ,61,27,-34
27,10 ,OZONE,Santa Rosa,Moderate,Good,38.45,-122.7,2017-10-10 ,2018-10-10 ,58,30,-28
28,10 ,OZONE,Stockton,Good,Good,37.9699,-121.3067,2017-10-10 ,2018-10-10 ,45,32,-13
29,10 ,PM2.5,Concord,Moderate,Good,37.97,-122.03,2017-10-10 ,2018-10-10 ,81,21,-60
30,10 ,PM2.5,Davis,Unhealthy,Good,38.5448,-121.7411,2017-10-10 ,2018-10-10 ,153,22,-131
31,10 ,PM2.5,Oakland,Unhealthy for Sensitive Groups,Good,37.8,-122.27,2017-10-10 ,2018-10-10 ,116,45,-71
32,10 ,PM2.5,San Francisco,Unhealthy for Sensitive Groups,Good,37.75,-122.43,2017-10-10 ,2018-10-10 ,127,33,-94
33,10 ,PM2.5,San Jose,Moderate,Good,37.33,-121.9,2017-10-10 ,2018-10-10 ,57,15,-42
34,10 ,PM2.5,San Rafael,Unhealthy,Good,37.97,-122.52,2017-10-10 ,2018-10-10 ,156,33,-123
35,10 ,PM2.5,Santa Rosa,Unhealthy,Good,38.45,-122.7,2017-10-10 ,2018-10-10 ,165,10,-155
36,10 ,PM2.5,Stockton,Moderate,Good,37.9699,-121.3067,2017-10-10 ,2018-10-10 ,77,41,-36
37,11 ,OZONE,Concord,Good,Good,37.97,-122.03,2017-10-11 ,2018-10-11 ,49,26,-23
38,11 ,OZONE,Fairfield,Good,Good,38.25,-122.04,2017-10-11 ,2018-10-11 ,47,35,-12
39,11 ,OZONE,Fremont,Good,Good,37.55,-122.03,2017-10-11 ,2018-10-11 ,34,31,-3
